"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#pathdaily [pic] — https://t.co/D5Kr94PSZv",FALSE,0,NA,2016-11-30 23:59:50,FALSE,NA,"804112735722049536",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","DesiErfiana",0,FALSE,FALSE,NA,NA
"2","Welcome Desember

Kenapa harus beli mobil NISSAN Di BULAN ini?

Berikut alasan utama kenapa anda harus… — https://t.co/at541Y2f8O",FALSE,0,NA,2016-11-30 23:59:44,FALSE,NA,"804112710606540800",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","IrsyalNasution",0,FALSE,FALSE,NA,NA
"3","Happy birthday mabest aunty, best wishes for you sukses terus kerja nya, lancar rencana… (w/ Dessy) [pic] — https://t.co/h8xHoPQOyh",FALSE,0,NA,2016-11-30 23:59:18,FALSE,NA,"804112602154422272",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","kaniadewi99",0,FALSE,FALSE,NA,NA
"4","<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> <U+266B> Terbaik Untukmu by Tangga — https://t.co/AHynWfJU8B",FALSE,0,NA,2016-11-30 23:59:16,FALSE,NA,"804112591614185472",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","77b4e9e29e204c7",0,FALSE,FALSE,NA,NA
"5","Pada serius amat cuy, hidup cuma sekali <U+266B> Desember by Efek Rumah Kaca — https://t.co/ApO70Ir0SM",FALSE,0,NA,2016-11-30 23:58:58,FALSE,NA,"804112519182680064",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","mirzafeb",0,FALSE,FALSE,NA,NA
"6","Bandung pagi hari ini (at @bwplagrande) [pic] — https://t.co/7BATNptzRX",FALSE,0,NA,2016-11-30 23:58:57,FALSE,NA,"804112515307159552",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","iloenk_okeh",0,FALSE,FALSE,107.6103,-6.90982
"7","Butuh tidur <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> (at @rshsbdg) — https://t.co/HNQ2PVkNTy",FALSE,0,NA,2016-11-30 23:58:47,FALSE,NA,"804112470851735552",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","AyuAPL_22",0,FALSE,FALSE,107.59902,-6.89829
"8","#pathdaily [pic] — https://t.co/yjpcsHDmWH",FALSE,0,NA,2016-11-30 23:58:25,FALSE,NA,"804112380229599232",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Jisman_RY",0,FALSE,FALSE,NA,NA
"9","<ed><U+00A0><U+00BD><ed><U+00B8><U+00A7><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> (at @unikom) — https://t.co/t7ySbJekjC",FALSE,0,NA,2016-11-30 23:58:23,FALSE,NA,"804112370037469184",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NendenAF",0,FALSE,FALSE,107.6158,-6.88697
"10","<ed><U+00A0><U+00BD><ed><U+00B9><U+008F> <U+266B> Desember by Efek Rumah Kaca — https://t.co/i3KR67w8nV",FALSE,0,NA,2016-11-30 23:58:17,FALSE,NA,"804112345924399104",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ToniAlgifaryA",0,FALSE,FALSE,NA,NA
"11","Bismillaahirrohmaanirrohiim..
Assalamualaikum wr.wb

Tanpa mengurangi… (w/ Adidonni, Moh, &amp; 175 others) [pic] — https://t.co/YBey2Y9s2D",FALSE,0,NA,2016-11-30 23:57:25,FALSE,NA,"804112127929659392",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","nihanoii",0,FALSE,FALSE,NA,NA
"12","Dear all,
Market Update, Kamis 01.12:

Bursa Global
Pasar saham AS ditutup beragam pada transaksi Rabu (30/11)… — https://t.co/JrcjeiPhR6",FALSE,0,NA,2016-11-30 23:57:19,FALSE,NA,"804112103166513153",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","frangky_p",0,FALSE,FALSE,NA,NA
"13","Up&amp;Up by @coldplay — https://t.co/SGdKjtPrRE",FALSE,0,NA,2016-11-30 23:57:17,FALSE,NA,"804112095121842177",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ganjarginanjar7",0,FALSE,FALSE,NA,NA
"14","Welcome Desember <U+2764><U+FE0F> <U+266B> Rockin' Around the Christmas Tree by Billy Gilman (at Dela Suite) — https://t.co/nij25xNchQ",FALSE,0,NA,2016-11-30 23:57:16,FALSE,NA,"804112089988009985",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","BenbenDictus",0,FALSE,FALSE,107.66313,-6.91788
"15","Wellcome Januari...
Aku mah selalu 1 bulan di depan... [pic] — https://t.co/RTlDGshZDd",FALSE,0,NA,2016-11-30 23:56:36,FALSE,NA,"804111923423768576",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Adeliagita92",0,FALSE,FALSE,NA,NA
"16","Bismillah [pic] — https://t.co/uAkSisvXZS",FALSE,0,NA,2016-11-30 23:54:00,FALSE,NA,"804111269208858624",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","fey2online",0,FALSE,FALSE,NA,NA
