"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6","Bandung pagi hari ini (at @bwplagrande) [pic] — https://t.co/7BATNptzRX",FALSE,0,NA,2016-11-30 23:58:57,FALSE,NA,"804112515307159552",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","iloenk_okeh",0,FALSE,FALSE,107.6103,-6.90982
"7","Butuh tidur <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> (at @rshsbdg) — https://t.co/HNQ2PVkNTy",FALSE,0,NA,2016-11-30 23:58:47,FALSE,NA,"804112470851735552",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","AyuAPL_22",0,FALSE,FALSE,107.59902,-6.89829
"9","<ed><U+00A0><U+00BD><ed><U+00B8><U+00A7><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> (at @unikom) — https://t.co/t7ySbJekjC",FALSE,0,NA,2016-11-30 23:58:23,FALSE,NA,"804112370037469184",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NendenAF",0,FALSE,FALSE,107.6158,-6.88697
"14","Welcome Desember <U+2764><U+FE0F> <U+266B> Rockin' Around the Christmas Tree by Billy Gilman (at Dela Suite) — https://t.co/nij25xNchQ",FALSE,0,NA,2016-11-30 23:57:16,FALSE,NA,"804112089988009985",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","BenbenDictus",0,FALSE,FALSE,107.66313,-6.91788
"19","Ini judulnya sih mencari sesuap sarapan<ed><U+00A0><U+00BD><ed><U+00B8><U+009E> (at @salmanitb) — https://t.co/ngGewdBUng",FALSE,0,NA,2016-11-30 23:53:04,FALSE,NA,"804111034482991104",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Widewidewi_ayu",0,FALSE,FALSE,107.60963,-6.89297
"28","Capeee (at @humasunisba) — https://t.co/RpqfZFIlvM",FALSE,0,NA,2016-11-30 23:51:14,FALSE,NA,"804110572790816768",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","adindaaminy",0,FALSE,FALSE,107.61025,-6.90294
"29","Tumben sendirian <ed><U+00A0><U+00BD><ed><U+00B8><U+0081> (at RSUD Kota Bandung) [pic] — https://t.co/lShmKfMBid",FALSE,0,NA,2016-11-30 23:50:40,FALSE,NA,"804110427420401664",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","wp_nugrahani",0,FALSE,FALSE,107.69909,-6.91569
"30","#pathdaily (with lani at Komplek Bumi Sari Indah 3 , Bale Endah) [pic] — https://t.co/GBvrWtnUFM",FALSE,0,NA,2016-11-30 23:50:13,FALSE,NA,"804110313352114176",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","van_pardzo",0,FALSE,FALSE,107.66047,-7.00814
"33","Desember <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> (at Gedung Kuliah Umum Universitas Telkom) — https://t.co/CF1248FT6A",FALSE,0,NA,2016-11-30 23:49:35,FALSE,NA,"804110155784679424",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","MIrfanHermawan",0,FALSE,FALSE,107.62972,-6.97257
"34","Sendiri ituuuu antara nikmat dan galau <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (at @grandsoviabdg) — https://t.co/nJOG9zwEcK",FALSE,0,NA,2016-11-30 23:49:27,FALSE,NA,"804110121433317376",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","anieradithya",0,FALSE,FALSE,107.60309,-6.90769
"37","Bismillah <ed><U+00A0><U+00BD><ed><U+00B8><U+0087> semoga diberikan kemenangan dan keselamatan 
#viscajurnal (at Mayasari Futsal Sport Hall) [pic] — https://t.co/BXpoRfRrwb",FALSE,0,NA,2016-11-30 23:48:50,FALSE,NA,"804109967334592512",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ilhamcules16",0,FALSE,FALSE,107.71397,-6.92594
"42","Tim siap tempur (with Yunan, agri, and 7 others at @sman14bdg) — https://t.co/gUz5eZodhS",FALSE,0,NA,2016-11-30 23:47:57,FALSE,NA,"804109745669881856",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","priestaghea",0,FALSE,FALSE,107.63554,-6.90315
"48","Dikala rusuh dan ban gembos itu... gemesiinn bangeets
#Alhamdulillahdisuruhistirahatdulu… (at Jl. Pungkur) [pic] — https://t.co/hC5KaoNBVO",FALSE,0,NA,2016-11-30 23:46:03,FALSE,NA,"804109265044533248",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rostika_ika",0,FALSE,FALSE,107.61484,-6.93253
"50","guten Morgen! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> (at Politeknik Mekanik Swiss - ITB (Polman)) [pic] — https://t.co/QW4oOZG6AH",FALSE,0,NA,2016-11-30 23:45:33,FALSE,NA,"804109142684090368",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","TrysalAkbar",0,FALSE,FALSE,107.61876,-6.88075
"51","Terajin jam segini dah prepare<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (with Rinrin  and ibu at GWM Lab Sos 1 Lt 9 Universitas Kristen Maranatha) — https://t.co/63puySdmDP",FALSE,0,NA,2016-11-30 23:44:44,FALSE,NA,"804108934403407872",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","putrinovitamugi",0,FALSE,FALSE,107.57725,-6.89074
"52","ujian agak serius (at @sman9bandung) — https://t.co/4J5jwp13op",FALSE,0,NA,2016-11-30 23:44:40,FALSE,NA,"804108916892143616",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","LuthfiFauzaan",0,FALSE,FALSE,107.58565,-6.90125
"53","kumaha urang weh asup mah :v (at @smkn1cmh) — https://t.co/tNyEx84mRu",FALSE,0,NA,2016-11-30 23:44:28,FALSE,NA,"804108869051920384",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RealIrman_",0,FALSE,FALSE,107.53964,-6.90093
"55","Saatnya kerja karena cantik aja ga cukup. Happy working everyone <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> (at @bormatoserba) — https://t.co/2qcHfAzpHb",FALSE,0,NA,2016-11-30 23:43:56,FALSE,NA,"804108733282275328",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rhymazelvia",0,FALSE,FALSE,107.57181,-6.89107
"63","Bismillah<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> (at Terminal Leuwi Panjang) — https://t.co/oPDsPN695U",FALSE,0,NA,2016-11-30 23:41:46,FALSE,NA,"804108190522556416",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","yuliantysetia",0,FALSE,FALSE,107.59309,-6.94595
"65","Nyubuh (with amel at Gerbang Tol Cileunyi) — https://t.co/vJ1PGuiQuA",FALSE,0,NA,2016-11-30 23:41:02,FALSE,NA,"804108002655510528",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","saputridiaan",0,FALSE,FALSE,107.76497,-6.93565
"66","Hallo kampus , hallo gedung U <ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BD><ed><U+00B9><U+0086> (at @infouinsgd) — https://t.co/rvq5Aslg5d",FALSE,0,NA,2016-11-30 23:40:42,FALSE,NA,"804107919822204928",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","nuzululkarimah2",0,FALSE,FALSE,107.72124,-6.93442
"69","Desember by Efek Rumah Kaca (at @teluniversity) — https://t.co/OWGhZjVggM",FALSE,0,NA,2016-11-30 23:39:59,FALSE,NA,"804107738967986177",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ameeFRZ",0,FALSE,FALSE,107.6346,-6.97105
"72","Fav<ed><U+00A0><U+00BD><ed><U+00B9><U+0080> (with lobaan at @humasunisba) — https://t.co/GshKZGtgbl",FALSE,0,NA,2016-11-30 23:39:26,FALSE,NA,"804107601919098880",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Sylvanitahnfh",0,FALSE,FALSE,107.60803,-6.90302
"74","#pathdaily (at Cigadung Valley<ed><U+00A0><U+00BC><ed><U+00BF><U+00A1>) [pic] — https://t.co/x55aAs0YX8",FALSE,0,NA,2016-11-30 23:38:55,FALSE,NA,"804107470440251392",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Agitaagitoy",0,FALSE,FALSE,107.63229,-6.87088
"76","Ready to Work and Home <U+2764><U+2764><U+2764> (at @bdo_ap2) — https://t.co/t0kN6r5dl4",FALSE,0,NA,2016-11-30 23:37:42,FALSE,NA,"804107166441291776",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","r1kurniawan",0,FALSE,FALSE,107.58029,-6.90375
"80","Bismillah<ed><U+00A0><U+00BD><ed><U+00B1><U+00BC> (with Ridwan, Kamila, and 4 others at @smanempatbdg) — https://t.co/d0e3w1G08m",FALSE,0,NA,2016-11-30 23:36:48,FALSE,NA,"804106939223326720",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Nonvita20",0,FALSE,FALSE,107.59897,-6.91939
"93","Ri !! Hidup mu penuh dengan ujian <ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> (at Gedung P2T Politeknik Negeri Bandung) — https://t.co/M5tXQhqlvO",FALSE,0,NA,2016-11-30 23:29:04,FALSE,NA,"804104990994243584",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ariearie_14",0,FALSE,FALSE,107.57386,-6.87171
"96","At @ptkai — https://t.co/un7wugHect",FALSE,0,NA,2016-11-30 23:28:12,FALSE,NA,"804104776489189376",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ditainssry",0,FALSE,FALSE,107.53631,-6.88572
"98","Rusuh<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (with Rella at @jasamarga) [pic] — https://t.co/NGLqoAmwGQ",FALSE,0,NA,2016-11-30 23:27:53,FALSE,NA,"804104696596049920",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Vivinrprmta",0,FALSE,FALSE,107.49702,-6.85119
"100","Don't dream if you never stride! Welcome to… <U+266B> Bad Things by Machine Gun Kelly &amp; Camila Cabello (at Tika's room) — https://t.co/X8owTXkI8l",FALSE,1,NA,2016-11-30 23:27:21,FALSE,NA,"804104562617372672",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","KartikaaaaS",0,FALSE,FALSE,107.66716,-6.97588
"101","At SMAK BPK Penabur Holis — https://t.co/ViIXQIYHnB",FALSE,0,NA,2016-11-30 23:27:13,FALSE,NA,"804104528215691265",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RealMarcell_",0,FALSE,FALSE,107.56461,-6.93874
"109","Dadah shohibu <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+008B>, semoga… (w/ Giffa, Lisa, &amp; 5 others at Kantor Bisnis Indonesia Perwakilan Jawa Barat) [pic] — https://t.co/DR3HDDb3NX",FALSE,0,NA,2016-11-30 23:24:19,FALSE,NA,"804103798385872896",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","aneeewww",0,FALSE,FALSE,107.56919,-6.89645
"112","Gue emang anak nakal.
Tapi nakal gue sewajarnya.
Tapi juga kalo nakalin kamu,… (at MOXCLUB Bar &amp; Kitchen) [pic] — https://t.co/IQVKPZ8naz",FALSE,0,NA,2016-11-30 23:19:55,FALSE,NA,"804102689940307968",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Augie_Hc95",0,FALSE,FALSE,107.61946,-6.88305
"117","At Mercure Setiabudi Hotel — https://t.co/NvqF3ZMt1s",FALSE,0,NA,2016-11-30 23:18:32,FALSE,NA,"804102340710055937",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","affirdaus",0,FALSE,FALSE,107.59545,-6.85751
"124","Ngeteh dulu<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> (at @itbofficial) — https://t.co/iB4LtmP5ax",FALSE,0,NA,2016-11-30 23:15:32,FALSE,NA,"804101585936650240",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","dhani_sandy",0,FALSE,FALSE,107.61249,-6.8947
"127","Pagi"" dengerin lagu ini kaya berasa mau… <U+266B> Hari Yang Cerah Untuk Jiwa Yang Sepi by peterpan (at Sesyaria's) — https://t.co/hlQaB7b9x1",FALSE,0,NA,2016-11-30 23:14:51,FALSE,NA,"804101415022903296",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","sucisesyaria",0,FALSE,FALSE,107.52744,-6.88174
"131","Dia yang menciptakan alam raya ini, adalah Dia yang juga setia memanggil kita lima… (at Tebing Keraton) [pic] — https://t.co/WEC8h8NjoA",FALSE,0,NA,2016-11-30 23:13:58,FALSE,NA,"804101192204750848",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ayikamil",0,FALSE,FALSE,107.6176,-6.88276
"135","#welcomedecember<ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> (at SD Negeri Moh Toha) [pic] — https://t.co/0X3zhJzWiG",FALSE,0,NA,2016-11-30 23:12:43,FALSE,NA,"804100877732618240",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Bang_Epull",0,FALSE,FALSE,107.60632,-6.92992
"147","Belum mandi ye. (at @bdo_ap2) — https://t.co/wWhOc22rHc",FALSE,0,NA,2016-11-30 23:06:11,FALSE,NA,"804099233427005440",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","silvyyd",0,FALSE,FALSE,107.57939,-6.90091
"151","Peertemuan terakhir bersama papi nerooo:3 (with nandayogap, DAMEULI, and 8 others at @aiysgerard) — https://t.co/0HPva3w6zg",FALSE,0,NA,2016-11-30 23:04:45,FALSE,NA,"804098874130370560",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","AuliaaaS_",0,FALSE,FALSE,107.61719,-6.87253
"155","In memoriam . . . . 

Wilujeung tepang taun mamih . . . . 
Mugia ditempatkeun dinu sae ku… (at Kampung Kuring) — https://t.co/XxpLwqqeim",FALSE,0,NA,2016-11-30 23:02:58,FALSE,NA,"804098423653691392",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rizkick",0,FALSE,FALSE,107.60473,-6.90562
"163","#pathdaily (at Jl. Situsari 2 No. 18) [pic] — https://t.co/8tO0i0wu1g",FALSE,0,NA,2016-11-30 22:57:34,FALSE,NA,"804097064124616704",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RestiArpianita",0,FALSE,FALSE,107.62981,-6.94632
"166","Akhirnyaaaaaaaaaaaaaa<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> (at Cihanjuang) — https://t.co/OMoxblAl2I",FALSE,0,NA,2016-11-30 22:56:21,FALSE,NA,"804096758888308737",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","diniiRhafitri",0,FALSE,FALSE,107.58661,-6.85152
"170","Terangkanlah ~ (at @rplsmkn1cmi) — https://t.co/R4mj1sRwcr",FALSE,0,NA,2016-11-30 22:52:50,FALSE,NA,"804095875836317696",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","SeptianAddict",0,FALSE,FALSE,107.53929,-6.90147
"173","Last wake up here for long time <ed><U+00A0><U+00BD><ed><U+00B8><U+00A6> (at Nusa indah, cijerah) — https://t.co/8ks51zWFAH",FALSE,0,NA,2016-11-30 22:52:26,FALSE,NA,"804095773801521152",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","surryaaaa",0,FALSE,FALSE,107.55884,-6.92291
"175","Moment kaya gini cuma didapet saat sang kakak tidur… (w/ Megan &amp; Verrel at Puri Dago Arcamanik) [pic] — https://t.co/jt6dxq3mTM",FALSE,0,NA,2016-11-30 22:48:42,FALSE,NA,"804094835397246976",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","dyraaprilina",0,FALSE,FALSE,107.66699,-6.91869
"178","Kesuksesan adalah pertemuan antara Kesempatan dan Kesiapan.  

So.. … (w/ Vera at Dago Suites Apartment) [pic] — https://t.co/hHuOXGflii",FALSE,0,NA,2016-11-30 22:48:01,FALSE,NA,"804094661308518400",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","vyrairrawinata",0,FALSE,FALSE,107.60965,-6.8837
"179","#pathdaily (at Kost Damar 39) [pic] — https://t.co/Serxzj44Xc",FALSE,0,NA,2016-11-30 22:47:00,FALSE,NA,"804094404688367616",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","elvirayusuuf",0,FALSE,FALSE,107.59744,-6.88172
