"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","pagi pagi udah di siapin  kemacettan panjaaang <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> kzeeel <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (at Jl Mekarsari Baleendah) — https://t.co/KY7BFWUohX",FALSE,0,NA,2016-10-30 23:59:47,FALSE,NA,"792878698491895808",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Dhe_devina",0,FALSE,FALSE,"107.63188","-7.00013"
"2","ada yang request pakein jambang lagi...
dan inilah hasil 4 hari ga cukuran <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> (at Underpass Tanah Abang) [pic] — https://t.co/1o6L0TJJoP",FALSE,0,NA,2016-10-30 23:59:46,FALSE,NA,"792878693043482624",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","indranggadinata",0,FALSE,FALSE,NA,NA
"3","cinta itu ikhlas! <U+266B> I Will Survive by Bondan Prakoso — https://t.co/XFb29imF16",FALSE,0,NA,2016-10-30 23:58:50,FALSE,NA,"792878458875457536",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ysrzlksmh14",0,FALSE,FALSE,NA,NA
"4","Lepas libur~ (at Rumah Sakit Al-Islam Bandung) — https://t.co/abufDQbeGT",FALSE,0,NA,2016-10-30 23:58:47,FALSE,NA,"792878448972664832",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","derrygilar",0,FALSE,FALSE,"107.6704","-6.93704"
"5","-----J11P Info#1:
JADWAL SIM KELILING
POLRESTABES BANDUNG
https://t.co/ZxACPyLaHP

Senin, 31 Oktober 2016
(1) ITC… — https://t.co/i1iPKyjps7",FALSE,0,NA,2016-10-30 23:58:46,FALSE,NA,"792878441812992000",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","J11PBand",0,FALSE,FALSE,NA,NA
"6","Don't Wanna Know (feat. Kendrick Lamar) by @maroon5 — https://t.co/XxpYBWb93I",FALSE,0,NA,2016-10-30 23:58:01,FALSE,NA,"792878254143053825",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","tulusLES",0,FALSE,FALSE,NA,NA
"7",":) - Talk and Love — https://t.co/zZ354vp7o7",FALSE,0,NA,2016-10-30 23:57:23,FALSE,NA,"792878093148880896",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","xkevinrenaldix",0,FALSE,FALSE,NA,NA
"8","Talking To the Moon by @BrunoMars — https://t.co/Y0ytKZoTk1",FALSE,0,NA,2016-10-30 23:57:08,FALSE,NA,"792878030913806336",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","nana_zian",0,FALSE,FALSE,NA,NA
"9","Hello Monday! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> (with Titan Putri ) [pic] — https://t.co/MfHol6PjaS",FALSE,0,NA,2016-10-30 23:57:05,FALSE,NA,"792878020956610560",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","devisetiaa",0,FALSE,FALSE,NA,NA
"10","Jogging pagi beebbb!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0081> ganbateeee!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> (with Sarah, Angel, and Vina at Car Free Day Dago) — https://t.co/lQvycvo9Dw",FALSE,0,NA,2016-10-30 23:57:05,FALSE,NA,"792878020570730496",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","jesiccapratiwi",0,FALSE,FALSE,NA,NA
