"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","pagi pagi udah di siapin  kemacettan panjaaang <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> kzeeel <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (at Jl Mekarsari Baleendah) — https://t.co/KY7BFWUohX",FALSE,0,NA,2016-10-30 23:59:47,FALSE,NA,"792878698491895808",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Dhe_devina",0,FALSE,FALSE,107.63188,-7.00013
"4","Lepas libur~ (at Rumah Sakit Al-Islam Bandung) — https://t.co/abufDQbeGT",FALSE,0,NA,2016-10-30 23:58:47,FALSE,NA,"792878448972664832",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","derrygilar",0,FALSE,FALSE,107.6704,-6.93704
"13","<ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7> (at SMA Pasundan 8 Bandung) — https://t.co/vrpKyPb7p3",FALSE,0,NA,2016-10-30 23:57:02,FALSE,NA,"792878008268828672",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Didagusss",0,FALSE,FALSE,107.60291,-6.889
"14","At Trek Lari Saparua — https://t.co/ABYn5NlAIO",FALSE,0,NA,2016-10-30 23:57:02,FALSE,NA,"792878005743779840",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rianrinata",0,FALSE,FALSE,107.61698,-6.9082
"16","At @smkkesbkc — https://t.co/p14UscxIP2",FALSE,0,NA,2016-10-30 23:56:46,FALSE,NA,"792877939679383552",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","DesiEsterlina",0,FALSE,FALSE,107.5521,-6.86456
"19","huaa<ed><U+00A0><U+00BD><ed><U+00B2><U+00A4> (at Fakultas Hukum) — https://t.co/kxbWSMBQwI",FALSE,0,NA,2016-10-30 23:56:19,FALSE,NA,"792877827569836032",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Junisihombing",0,FALSE,FALSE,107.60924,-6.9269
"21","Akhirnyaaaaaaaaa coming back to go home talun city hahahaha yayteuingngomongnawn<ed><U+00A0><U+00BD><ed><U+00B8><U+00B6> (at talun - rancaekek) — https://t.co/RzD6wms0L5",FALSE,0,NA,2016-10-30 23:54:49,FALSE,NA,"792877450879340545",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","deaannisafitri2",0,FALSE,FALSE,107.77027,-6.95977
"22","#pathdaily (at Pt Three Six World) [pic] — https://t.co/HvHnYHhZq6",FALSE,0,NA,2016-10-30 23:54:22,FALSE,NA,"792877336353837057",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurlaylaE",0,FALSE,FALSE,107.26186,-6.81373
"23","With Muhammad Azharil  at @sma_angkasabdg — https://t.co/Kadqh2d6FU",FALSE,0,NA,2016-10-30 23:54:16,FALSE,NA,"792877309413892096",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","muthiautari",0,FALSE,FALSE,107.58228,-6.90669
"24","Senin semangat weekend msh lamaaa:( (at Pt Three Six World) — https://t.co/ELuf7N4JwK",FALSE,0,NA,2016-10-30 23:53:17,FALSE,NA,"792877065246613504",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurlaylaE",0,FALSE,FALSE,107.26168,-6.8137
